名称,英文,cw原价(RRP),优惠额度,优惠价,重量 克,件数,箱重(克),单价,件数,需补邮费,运费,成本比,汇率,注释
052P_femfresh女性私处护理液250ml＊2瓶 孕妇洗液安全不刺激,,$7.39,$1.40,$5.99 ,295,3 ,200 , CN¥	61 ,1 ,CN¥32,7,1.42857,5,有除异味版本 价格一样
053P_Nature’s Way佳思敏多种维他命+蔬菜咀嚼软糖 60粒,Nature's Way Kids Smart Vita Gummies Multi Vitamin & Vegies 60 Gummies,$14.50,$5.51,$8.99 ,158,3 ,200 , CN¥	75 ,1 ,CN¥39,7,1.42857,5,
054P_2_healthy care澳洲深海鱼油400粒+大豆卵磷脂胶囊100粒 黄金搭配 ,Healthy Care Fish Oil 1000mg 400 Capsules,,,,,,, CN¥	199 ,,,,,,
055P_DU'IT急救手膜手霜 150ml 深度修复裂痕 清爽不油腻,DUIT Tough Hands Intensive Repair 150ml,$11.95,$1.96,$9.99 ,171,3 ,200 , CN¥	88 ,1 ,CN¥33,7,1.42857,5,
056P_澳洲morning fresh 超浓缩洗洁精 柠檬味400ml＊2瓶组合装,Morning Fresh Dishwashing Liquid+ Lemon Original 400ml *2,$3.99,$2.00,$1.99 ,900,1 ,200 , CN¥	69 ,1 ,超过1KG,7,1.42857,5,同051P
057P_NaturesWay佳思敏儿童复合维生素软糖Omega3鱼油 60粒,Nature's Way Kids Smart Vita Gummies Omega 3 Fish Oil 60,$14.50,$5.51,$8.99 ,228,3 ,200 , CN¥	79 ,1 ,CN¥35,7,1.42857,5,
058P_DU'IT足膜防裂护脚膏_脚跟龟裂膏脚膜50ML护脚霜,,,,,,,, CN¥	88 ,,,7,1.42857,5,需查货
059P_Goat wash羊奶沐浴露柠檬味/坚果/燕麦/蜂蜜/椰奶/原味滋润保湿孕妇敏感肌肤500ml,Goat body wash,$7.99,$0.00,$7.99 ,550,3 ,245 , CN¥	89 ,1 ,CN¥18,7,1.42857,5,
061P_2_Swisse胶原蛋白液500ml+梅子味叶绿素500ml排毒美容养颜,,,,,,,,,,,7,1.42857,5,"天猫卖 188, 需查价"
062P_swisse葡萄籽精华美白淡斑祛痘抗氧化花青素180片,"Swisse Ultiboost Grape Seed 14,250mg 180 Tablets",$44.99,$20.00,$24.99 ,159,3 ,200 , CN¥	190 ,1 ,CN¥39,7,1.42857,5,
063P_Healthy Care 山羊奶片羊奶咀嚼片香草味/巧克力味 300粒低脂高钙,Healthy Care Goat Milk Vanilla/Chocolate Flavour Chewable 300 Tablets,$9.99,$2.00,$7.99 ,280,3 ,200 , CN¥	74 ,1 ,CN¥33,7,1.42857,5,
064P_Nature's Way儿童复合维生素+Omega 咀嚼软糖 50软糖,Nature's Way Kids Smart Vita Gummies Multi + Omega 50 Pastilles,$14.50,$5.51,$8.99 ,140,3 ,200 , CN¥	75 ,1 ,CN¥40,7,1.42857,5,
071P_Swisse sleep安定睡眠片100片褪黑素天然草本缓解紧张 快速睡眠,Swisse Ultiboost Sleep 100 Tablets,$36.95,$10.56,$26.39 ,169,3 ,200 , CN¥	200 ,1 ,CN¥38,7,1.42857,5,
073P_Ego QV cream雪花膏乳霜250 高度保湿面霜肌肤嫩滑,Ego QV Cream 250g Jar,$13.20,$2.21,$10.99 ,280,3 ,200 , CN¥	96 ,1 ,CN¥33,7,1.42857,5,
074P_swisse月见草油胶囊200粒调节女性内分泌 保养卵巢,Swisse Ultiboost Evening Primrose Oil 200 Capsules,$39.99,$22.00,$17.99 ,350,3 ,200 , CN¥	149 ,1 ,CN¥29,7,1.42857,5,
075P_Healthy Care角鲨烯软胶囊200粒 耐缺氧提高氧含量 ,Healthy Care Squalene 1000mg 200 Capsules,$32.99,$0.00,$32.99 ,381,3 ,200 , CN¥	258 ,1 ,CN¥28,7,1.42857,5,
076P_swisse纯天然番茄红素男性备孕前列康片50片缓解前列腺,Swisse Ultiboost Prostate 50 Tablets,$42.99,$19.00,$23.99 ,226,3 ,200 , CN¥	186 ,1 ,CN¥35,7,1.42857,5,
077P_Blackmores_澳佳宝鱼油软胶囊1000mg400粒调节三高护心脑,Blackmores Fish Oil 1000mg 400 Capsules,$39.99,$14.00,$25.99 ,635,3 ,200 , CN¥	221 ,1 ,CN¥15,7,1.42857,5,
078P_Goat wash羊奶沐浴露摩洛哥坚果味_孕妇敏感肌肤500ml,,,,,,,,,,,7,1.42857,5,
079P_Menevit爱乐维男士备孕胶囊90粒备孕营养素提高精子活性,Menevit 90 Capsules,$84.85,$24.86,$59.99 ,170,3 ,200 , CN¥	440 ,1 ,CN¥38,7,1.42857,5,
080P_Swisse男士活力复合维生素片120片天然植物精华缓解压力,Swisse Men's Ultivite 120 Tablets,$69.95,$29.96,$39.99 ,240,3 ,200 , CN¥	301 ,1 ,CN¥35,7,1.42857,5,
081P_elevit爱乐维女性备孕孕妇营养复合维生素叶酸片100片,Elevit Tablets 100 ,$52.99,$0.00,$52.99 ,165,3 ,200 , CN¥	390 ,1 ,CN¥38,7,1.42857,5,
082P_Swisse女士多种综合复合维生素120片舒缓压力平衡营养,Swisse Women's Ultivite 120 Tablets,$69.95,$29.96,$39.99 ,235,3 ,200 , CN¥	301 ,1 ,CN¥35,7,1.42857,5,
083P_Maxigenes 美可卓蓝胖子成人全脂高钙孕妇营养牛奶粉1kg,MAXIGENES FULL CRM INSTANT MILK PWD 1KG,$17.00,$0.00,$17.00 ,1000,3 ,260 , CN¥	176 ,1 ,超过1KG,7,1.42857,5,
084P_Blackmores澳佳宝圣洁莓40粒 呵护卵巢 远离经期紊乱,Blackmores Vitex Angus Castus 40 Tablets,$19.99,$4.00 ,$15.99 ,122,3 ,200 , CN¥	124 ,1 ,CN¥41,7,1.42857,5,
085P_Blackmores澳佳宝血糖平衡片90粒缓解降血糖降低胆固醇,Blackmores Sugar Balance 90 Tablets,$21.99,$5.00,$16.99 ,167,3 ,200 , CN¥	133 ,1 ,CN¥38,7,1.42857,5,
086P_Blackmores澳佳宝叶黄素护眼胶囊60粒保护视力缓解疲劳澳洲,Blackmores Lutein Defence 60 Tablets,$39.99,$8.00,$31.99,120,3 ,200 , CN¥	238 ,1 ,CN¥41,7,1.42857,5,
087P_Nature's Own圣洁莓胶囊1000mg60粒呵护卵巢远离经期紊乱澳洲进口,Nature's Own Vitex Agnus Castus 1000mg 60 Capsules,$24.10,$4.11,$19.99 ,120,3 ,200 , CN¥	152 ,1 ,CN¥41,7,1.42857,5,重量为估算值
088P_Phisohex抗菌祛痘洗面奶 补水保湿 深层清洁 200ml,Phisohex Antibacterial Face Wash 200ml,$10.99,$2.00,$8.99 ,240,3 ,200 , CN¥	80 ,1 ,CN¥35,7,1.42857,5,
089P_Maxigenes 美可卓山羊奶粉400g中老年学生奶粉,Maxigenes Goat Milk Powder 400g,$21.80,$3.81 ,$17.99 ,450,3 ,260 , CN¥	155 ,1 ,CN¥23,7,1.42857,5,
099P_bioisland孕妇DHA 海藻油孕期哺乳期营养维生素60粒,Bio Island DHA for Pregnancy 60 Softgel Capsules,$35.95,$10.96,$24.99 ,100,3 ,200 , CN¥	187 ,1 ,CN¥42,7,1.42857,5,重量为估算值
100P_Aveeno Baby艾维诺婴儿保湿天然燕麦润肤乳227ml ,Aveeno Baby Daily Moisturing Lotion 227ml,$11.69,$2.70,$8.99 ,245,3 ,200 , CN¥	80 ,1 ,CN¥34,7,1.42857,5,重量为估算值
102P_ Aveeno 艾维诺婴儿天然燕麦洗发沐浴露二合一236ML,Aveeno Baby Wash & Shampoo 236mL,$11.69,$2.70,$8.99 ,266,3 ,200 , CN¥	81 ,1 ,CN¥33,7,1.42857,5,重量为估算值
103P_Life Space孕期＆哺乳期益生菌60粒,Life Space Pregnancy & Breastfeeding Probiotic 60 Capsules,$41.99,$7.00,$34.99 ,141,3 ,200 , CN¥	260 ,1 ,CN¥40,7,1.42857,5,
104P_Swisse小黄瓜深层清洁卸妆液脸部唇部温和卸妆水,Swisse Face Micellar Makeup Remover 300ml,$10.95,$1.96 ,$8.99 ,330,3 ,200 , CN¥	84 ,1 ,CN¥30,7,1.42857,5,
105P_Swiss叶绿素片 200粒排毒养颜清热排毒清肠,Swisse High Strength Chlorophyll+ 1000mg 200 Tablets,$55.95,$23.96,$31.99 ,241,3 ,200 , CN¥	244 ,1 ,CN¥35,7,1.42857,5,
106P_Banana Boat香蕉船SPF50+婴儿滚珠防晒霜75ml,Banana Boat SPF 50+ Kids 75ml Roll On,$10.49,$3.50,$6.99 ,107,3 ,200 , CN¥	59 ,1 ,CN¥41,7,1.42857,5,
107P_SUKIN苏芊泡沫洁面乳125ml美白保湿洗面奶,Sukin Foaming Facial Cleanser Pump 125ml,$10.19,$3.50,$6.69 ,150,3 ,200 , CN¥	59 ,1 ,CN¥39,7,1.42857,5,
108P_SUKIN苏芊保湿化妆水喷雾125ml,Sukin Hydrating Mist Toner 125ml,$9.95,$3.26,$6.69 ,150,3 ,200 , CN¥	59 ,1 ,CN¥39,7,1.42857,5,
109P_SUKIN苏芊 正常/敏感 肌肤面部保湿乳120ml ,Sukin Facial Moisturiser Pump 125ml /sensitive,$9.95,$3.26,$6.69 ,150,3 ,200 , CN¥	59 ,1 ,CN¥39,7,1.42857,5,
110P_Banana Boat香蕉船日常防晒霜 美白保湿 SPF50+ 200g,Banana Boat SPF 50+ Everyday 200g,$16.49,$2.50,$13.99 ,225,3 ,200 , CN¥	115 ,1 ,CN¥35,7,1.42857,5,
111P_木瓜霜 25g,Lucas Papaw Ointment 25g,$6.09,$1.61,$4.48 ,34,6 ,200 , CN¥	35 ,1 ,CN¥47,7,1.42857,5,"特殊公式算法,不承担箱子重量"
112P_木瓜霜 75g,Lucas Papaw Ointment 75g,$12.51,$3.63,$8.88 ,103,6 ,200 , CN¥	70 ,1 ,CN¥43,7,1.42857,5,"特殊公式算法,不承担箱子重量"
113P_木瓜霜 200g,Lucas Papaw Ointment 200g,$32.94,$8.95,$23.99 ,240,6 ,200 , CN¥	185 ,1 ,CN¥36,7,1.42857,5,"特殊公式算法,不承担箱子重量"
114P_Comvita康维他麦卢卡蜂蜜 Manuka Honey UMF 5+ 250g,Comvita Active 5+ Manuka Honey 250g,$32.95,$7.96,$24.99 ,300,3 ,200 , CN¥	197 ,1 ,CN¥32,7,1.42857,5,
115P_Comvita康维他麦卢卡蜂蜜 Manuka Honey UMF 5+ 500g,Comvita Active 5+ Manuka Honey 500g,$59.95,$14.96,$44.99 ,548,3 ,245 , CN¥	353 ,1 ,CN¥19,7,1.42857,5,
116P_Comvita康维他麦卢卡蜂蜜 Manuka Honey UMF 5+ 1kg,Comvita Active 5+ Manuka Honey 1g,$109.95,$24.96,$84.99 ,1060,3 ,245 , CN¥	664 ,1 ,超过1KG,7,1.42857,5,
117P_Comvita康维他麦卢卡蜂蜜 Manuka Honey UMF 10+ 250g,Comvita Active 10+ Manuka Honey 250g,$77.95,$18.96,$58.99 ,300,3 ,200 , CN¥	440 ,1 ,CN¥32,7,1.42857,5,
118P_Comvita康维他麦卢卡蜂蜜 Manuka Honey UMF 10+ 500g,Comvita Active 10+ Manuka Honey 500g,$129.95,$29.96,$99.99 ,548,3 ,245 , CN¥	746 ,1 ,CN¥19,7,1.42857,5,
119P_Comvita康维他麦卢卡蜂蜜 Manuka Honey UMF 15+ 500g,Comvita Active 15+ Manuka Honey 500g,$129.95,$29.96,$99.99 ,300,3 ,200 , CN¥	733 ,1 ,CN¥32,7,1.42857,5,
120P_雀巢Sustagen孕妇奶粉_提高免疫力全面营养,Nestle Sustagen Optimum 800g,$37.95,$8.96,$28.99 ,850,3 ,245 , CN¥	254 ,1 ,超过1KG,7,1.42857,5,"特殊公式算法,不承担箱子重量"
121P_雅培小安苏孕妇奶粉,Ensure Powder Vanilla 850g,$37.45,$4.46,$32.99 ,900,3 ,245 , CN¥	285 ,1 ,超过1KG,7,1.42857,5,"特殊公式算法,不承担箱子重量"
122P_百洛油 60ml, Bio Oil 60ml,$14.95,$2.26,$12.69 ,83,,,,,,,,,
123P_百洛油 125ml, Bio Oil 125ml,$24.95,$3.96,$20.99 ,149,,,,,,,,,
124P_百洛油 200ml, Bio Oil 200ml,$34.95,$9.96,$24.99 ,223,,,,,,,,,
125P_Aerogard 无味驱蚊液 175ml,Aerogard Odourless Protection Pump 175ml,$7.39,$1.00,$6.39 ,185,,,,,,,,,
126P_Aerogard 超持久驱蚊液 135ml,Aerogard Tropical Strength Pump 135mL,$6.16,$0.47,$5.69 ,145,,,,,,,,,
127P_PediaSure 儿童成长奶粉 香草味 850g,,,,,,,,,,,,,,
128P_Trilogy 玫瑰果油 20ml,,,,19.99,,,,,,,,,,
129P_Trilogy 玫瑰果油 45ml,,,,29.99,,,,,,,,,,
130P_Trilogy 有机抗氧玫瑰果油 30ml,,,,24.99,,,,,,,,,,
131P_Trilogy 玫瑰果油护肤礼盒,,,,19.99,,,,,,,,,,
132P_Royal Nectar 蜂毒眼霜 15ml,,,,30,,,,,,,,,,
133P_Royal Nectar 蜂毒细胞激活精华 15ml,,,,38.95,,,,,,,,,,
134P_Royal Nectar 蜂毒洗面奶 100ml,,,,34.45,,,,,,,,,,
135P_Royal Nectar 蜂毒面膜 50ml,,,,45,,,,,,,,,,
136P_Royal Nectar 蜂毒面霜 50ml,,,,40,,,,,,,,,,
042P_Red Seal红印黑糖500g 澳洲进口黑蔗红糖 缓解痛经,,,,,,,,,,CN¥50,7,1.42857,5,无货并且该货很容易爆瓶
066P_澳洲Goat wash羊奶沐浴露麦卢卡蜂蜜味保湿孕妇敏感肌肤500ml,,,,,,,,,,CN¥50,7,1.42857,5,
068P_澳洲Goat wash羊奶椰子油沐浴露_滋润保湿孕妇敏感肌肤500ml,,,,,,,,,,CN¥50,7,1.42857,5,
070P_澳洲Goat wash燕麦味羊奶沐浴露_滋润保湿孕妇敏感肌肤500ml ,,,,,,,,,,CN¥50,7,1.42857,5,
072P_EGO QV宝宝面霜 儿童雪花膏_雪花霜100g明星面霜,,,,,,,,,,CN¥50,7,1.42857,5,需查价
101P_飞利浦Avent新安怡自然原生宽口径 260ml 婴幼儿PP奶瓶2只1月+,,,,,,,,,,CN¥50,7,1.42857,5,
137P_Infacol 婴儿胀气滴露 71元,,,,,,,,,,,,,,
138P_Medela 美德乐 单 电动吸奶器 1350元,,,,,,,,,,,,,,
139P_Medela 美德乐 双 电动吸奶器 1805元,,,,,,,,,,,,,,
140P_Medela 美德乐 手动吸奶器 475元,,,,,,,,,,,,,,
141P_香蕉船 脸部防晒霜 Banana Boat SPF 50+ Faces 100g 88元,,,,,,,,,,,,,,
142P_Maxigenes 美可卓绵羊奶粉400g中老年学生奶粉 193元,,,,,,,,,,,,,,
143P_德运全脂奶粉 110元,,,,,,,,,,,,,,
144P_德运脱脂奶粉 110元.png,,,,,,,,,,,,,,
145P_雅培小安素 婴儿儿童奶粉 儿科医师推荐 全面均衡营养发育 1-10岁 850克 298元.jpg,,,,,,,,,,,,,,
146P_Life space 益生菌 300亿益生菌每粒 60粒 171元,,,,,,,,,,,,,,
147P_乐康膏 通便排毒 500g 50天 107元,,,,,,,,,,,,,,
148P_Oral B 敏感 电动牙刷 加2牙刷头 295元,,,,,,,,,,,,,,
149P_Oral B 洁白 电动牙刷 加2牙刷头 330元,,,,,,,,,,,,,,
150P_Oral B 精准 电动牙刷 加2牙刷头 295元,,,,,,,,,,,,,,
151P_Healthy Care Bilberry Lutein越橘叶黄素护眼120粒 198元,,,,,,,,,,,,,,
152P_Life space 儿童益生菌 60g 每次2g 207元,,,,,,,,,,,,,,
153P_Blackmores Lyprinol Double 风湿关节炎克星胶囊 双倍 264元,,,,,,,,,,,,,,
